concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
1.0,251.2,0.0227,10.0,109.4,109.36,2.742230347349177,0.15832274292220086
1.0,259.2,0.0211,10.0,100.27,99.95,2.3835643761843026,0.15417996243881826
1.0,28.5,0.118,0.05,125.01,121.53,0.3839692824574034,0.05542119214683232
1.0,28.5,0.118,0.05,125.01,121.53,0.3839692824574034,0.05542119214683232
1.0,281.8,0.0175,10.0,109.63,109.29,2.5631670163276477,0.15290572484028286
1.0,284.8,0.008,1.0,87.39,85.93,0.44627531754205285,0.07146124268678794
1.0,297.0,0.0156,10.0,110.72,110.28,2.285043352601156,0.14365944473073397
1.0,3.5,0.7054,0.05,75.28,74.3,1.1689691817215728,0.12461253347033553
1.0,3.5,0.7054,0.05,75.28,74.3,1.1689691817215728,0.12461253347033553
1.0,3.9,0.6076,0.05,82.84,81.85,1.0019314340898116,0.10997626242327739
1.0,3.9,0.6076,0.05,82.84,81.85,1.0019314340898116,0.10997626242327739
1.0,31.6,0.1143,0.05,128.21,124.03,0.3275875516730364,0.05054785662902941
1.0,31.6,0.1143,0.05,128.21,124.03,0.3275875516730364,0.05054785662902941
1.0,31.6,0.1361,1.0,111.17,110.55,2.140865341369074,0.13877168858992095
1.0,316.2,0.0074,1.0,84.37,82.66,0.6400379281735213,0.08709813000295762
1.0,316.2,0.0137,10.0,104.04,103.48,1.9319492502883506,0.1362691933752194
1.0,340.3,0.0118,10.0,102.93,102.22,1.9333527640143786,0.13705174370607096
1.0,35.1,0.1129,1.0,114.39,113.72,1.8270827869569017,0.12638195904188268
1.0,351.1,0.0112,10.0,109.45,108.68,1.8547281863864777,0.13017639880105075
1.0,354.8,0.0108,10.0,81.69,80.89,1.9586240665932184,0.15484282826139698
1.0,366.1,0.0103,10.0,107.79,107.09,1.7348548102792465,0.1268651482621518
1.0,389.9,0.006,1.0,63.32,61.7,0.42640555906506633,0.08206178810338964
1.0,389.9,0.009,10.0,88.79,87.94,1.7682171415699965,0.1411190909577843
1.0,389.9,0.0093,10.0,98.72,97.97,1.6612641815235007,0.12972293835966062
1.0,398.1,0.0086,10.0,94.85,94.0,1.8239325250395362,0.1386710220133464
1.0,4.1,0.57,0.05,81.03,80.05,0.9379242255954584,0.10758728726498022
1.0,4.1,0.57,0.05,81.03,80.05,0.9379242255954584,0.10758728726498022
1.0,423.9,0.008,10.0,95.94,95.16,1.834479883260371,0.13827912405067333
1.0,43.3,0.1078,0.05,133.17,128.05,0.2778403544341819,0.04567667290154104
1.0,43.3,0.1078,0.05,133.17,128.05,0.2778403544341819,0.04567667290154104
