gas_mixture,kind,pressure_bar,concentration_percent,concentration_fraction,wavelength_nm,intensity_ph_MeV_nm,plot_intensity,raw_plot_scale,normalisation_reference
ArN2,model,1,0.1,0.001,315.7578789394697,9.645159603672108e-05,9.645159603672108e-05,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,316.00800400200103,0.000135513344619,0.000135513344619,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,316.2581290645323,0.000189549472724,0.000189549472724,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,316.50825412706354,0.0002639556531383,0.0002639556531383,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,316.7583791895948,0.0003659377600895,0.0003659377600895,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,317.00850425212604,0.0005050697448519,0.0005050697448519,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,317.25862931465736,0.0006940062040007,0.0006940062040007,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,317.5087543771886,0.0009493868729265,0.0009493868729265,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,317.75887943971986,0.0012929774860769,0.0012929774860769,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,318.0090045022511,0.0017530995319559,0.0017530995319559,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,318.2591295647824,0.0023664103461998,0.0023664103461998,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,318.5092546273137,0.0031801046198066,0.0031801046198066,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,318.75937968984493,0.0042546185639273,0.0042546185639273,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,319.0095047523762,0.0056669283845346,0.0056669283845346,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,319.25962981490744,0.007514544983677,0.007514544983677,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,319.5097548774387,0.0099203163925299,0.0099203163925299,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,319.75987993997,0.0130381576830709,0.0130381576830709,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,320.01000500250126,0.0170598341708484,0.0170598341708484,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,320.2601300650325,0.0222229266190395,0.0222229266190395,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,320.51025512756377,0.0288201057312407,0.0288201057312407,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,320.760380190095,0.0372098361770833,0.0372098361770833,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,321.0105052526264,0.0478286163088204,0.0478286163088204,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,321.2606303151576,0.0612048370963505,0.0612048370963505,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,321.51075537768884,0.0779743111094941,0.0779743111094941,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,321.7608804402201,0.0988974781431829,0.0988974781431829,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,322.0110055027514,0.1248782370023504,0.1248782370023504,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,322.26113056528266,0.1569842819984164,0.1569842819984164,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,322.5112556278139,0.1964687372240686,0.1964687372240686,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,322.7613806903452,0.2447927815839809,0.2447927815839809,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,323.0115057528764,0.3036488434892943,0.3036488434892943,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,323.2616308154077,0.3749838175522549,0.3749838175522549,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,323.511755877939,0.4610216190233849,0.4610216190233849,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,323.76188094047023,0.5642842486926224,0.5642842486926224,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,324.0120060030015,0.6876103963199194,0.6876103963199194,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,324.26213106553274,0.8341704703931601,0.8341704703931601,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,324.51225612806405,1.0074768133446816,1.0074768133446816,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,324.7623811905953,1.2113877525875216,1.2113877525875216,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,325.01250625312656,1.4501040580314977,1.4501040580314977,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,325.2626313156578,1.7281563358540062,1.7281563358540062,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,325.5127563781891,2.0503818961657974,2.0503818961657974,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,325.7628814407204,2.4218896984394016,2.4218896984394016,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,326.01300650325163,2.848012111890297,2.848012111890297,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,326.2631315657829,3.334242435607171,3.334242435607171,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,326.51325662831414,3.886157410114375,3.886157410114375,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,326.76338169084545,4.509324320305846,4.509324320305846,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,327.0135067533767,5.209192737889298,5.209192737889298,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,327.263631815908,5.990971474113547,5.990971474113547,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,327.5137568784392,6.859491900602414,6.859491900602414,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,327.76388194097046,7.819059432874999,7.819059432874999,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,328.0140070035018,8.873295638130829,8.873295638130829,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,328.264132066033,10.024974102240888,10.024974102240888,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,328.5142571285643,11.275853842855463,11.275853842855463,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,328.76438219109554,12.626514655340472,12.626514655340472,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,329.0145072536268,14.076199293331657,14.076199293331657,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,329.2646323161581,15.62266778304878,15.62266778304878,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,329.5147573786893,17.26206941844457,17.26206941844457,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,329.7648824412206,18.98883805412896,18.98883805412896,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
ArN2,model,1,0.1,0.001,330.01500750375186,20.795616181027302,20.795616181027302,1.0,/home/daniel/GitHub/ScintillationModel_RareGasMixtures_2/data/Parameters/ArCF4_primary.csv
