wavelength_nm,0.1_percent_N2_ph_MeV_nm,1_percent_N2_ph_MeV_nm,10_percent_N2_ph_MeV_nm,100_percent_N2_ph_MeV_nm
770.735367683842,21.476703512776904,13.684303303584755,2.663194126048599,0.0
770.9854927463732,22.20056525687716,14.13906719704158,2.7491610587119886,0.0
771.2356178089044,22.784502361396264,14.505961997881391,2.8185327272366125,0.0
771.4857428714358,23.211831109396687,14.774184359882517,2.8691386514691315,0.0
771.735867933967,23.46980240692352,14.935458279975055,2.8993081986916196,0.0
771.9859929964982,23.550014514935306,14.984296435704932,2.907920798795808,0.0
772.2361180590295,23.44866351890481,14.918157772613625,2.894435825938655,0.0
772.4862431215608,23.166618954065726,14.737493542693446,2.858900714565504,0.0
772.736368184092,22.709321026043387,14.44567970048302,2.801936971163925,0.0
772.9864932466234,22.086505256914425,14.048839501696909,2.724704881172101,0.0
773.2366183091547,21.31176948020736,13.55556589980842,2.6288488125005935,0.0
773.4867433716859,20.40200625874463,12.97655848949357,2.5164260044863753,0.0
773.7368684342172,19.376730437058015,12.324193941239807,2.3898225342218606,0.0
773.9869934967485,18.257336222121097,11.612051827382142,2.2516607167635936,0.0
774.2371185592797,17.066320631826176,10.854419278065993,2.1047024872026374,0.0
774.4872436218109,15.826510262374876,10.065797963844215,1.9517533188030407,0.0
774.7373686843422,14.560326190803,9.260435534834514,1.79557096287932,0.0
774.9874937468735,13.289117704120569,8.451901017395475,1.638782784124914,0.0
775.2376188094047,12.032589828093503,7.652720029393251,1.4838147581900731,0.0
775.487743871936,10.808342810158413,6.8740813376512016,1.3328343569448309,0.0
775.7378689344673,9.631534335555875,6.1256215910091,1.1877086377003594,0.0
775.9879939969985,8.514667867163368,5.415290364846988,1.04997794245263,0.0
776.2381190595298,7.46750359660738,4.749293264845979,0.9208447632400801,0.0
776.4882441220611,6.497082493628237,4.132107023802018,0.8011765911593692,0.0
776.7383691845923,5.607849150322218,3.5665574811108853,0.6915209773012428,0.0
776.9884942471235,4.801855722036265,3.0539491777603494,0.5921306166027973,0.0
777.2386193096548,4.079027328153405,2.5942340688775727,0.5029960278051747,0.0
777.4887443721861,3.4374687399825086,2.186206516820492,0.4238833376931161,0.0
777.7388694347173,2.8737928995945876,1.8277121851447016,0.3543747670857724,0.0
777.9889944972487,2.383453561548041,1.5158595668598371,0.29390963237637135,0.0
778.23911955978,1.9610668641577231,1.247224480784462,0.24182398713411002,0.0
778.4892446223112,1.6007096372820706,1.018039778828236,0.1973873987508451,0.0
