mixture,concentration_percent,pressure_bar,wavelength_nm,experimental_ph_MeV_nm
ArN2,0.1,1,317.91,13.331857502256833
ArN2,0.1,1,318.27,10.178453681421072
ArN2,0.1,1,318.64,8.52873994124298
ArN2,0.1,1,319.0,5.4540185288942995
ArN2,0.1,1,319.37,4.16861391139311
ArN2,0.1,1,319.74,3.8586538826373014
ArN2,0.1,1,320.1,3.595390087526055
ArN2,0.1,1,320.47,3.2135352971467865
ArN2,0.1,1,320.83,2.927904559906017
ArN2,0.1,1,321.2,2.544980924947794
ArN2,0.1,1,321.57,2.3545576108669173
ArN2,0.1,1,321.93,2.4594315977607835
ArN2,0.1,1,322.3,2.3851827442117353
ArN2,0.1,1,322.66,2.4079554902139453
ArN2,0.1,1,323.03,2.4079554902139453
ArN2,0.1,1,323.4,2.2981885703823584
ArN2,0.1,1,323.76,2.3288137037271763
ArN2,0.1,1,324.13,2.4822043437629935
ArN2,0.1,1,324.49,2.4822043437629935
ArN2,0.1,1,324.86,2.4822043437629935
ArN2,0.1,1,325.22,3.3449008427522235
ArN2,0.1,1,325.59,3.834926642450214
ArN2,0.1,1,325.95,4.339449880006307
ArN2,0.1,1,326.32,4.860825738237706
ArN2,0.1,1,326.68,5.006073757250014
ArN2,0.1,1,327.05,6.974742659956936
ArN2,0.1,1,327.42,8.078593937298516
ArN2,0.1,1,327.78,10.26830172352514
ArN2,0.1,1,328.15,11.960226746266137
ArN2,0.1,1,328.51,12.853729615596743
ArN2,0.1,1,328.88,16.25470177056006
ArN2,0.1,1,329.24,20.86515099812958
ArN2,0.1,1,329.61,24.218718776898196
ArN2,0.1,1,329.97,31.813284199671315
ArN2,0.1,1,330.34,45.68172953209992
ArN2,0.1,1,330.7,62.26213273850218
ArN2,0.1,1,331.07,89.21248297534314
ArN2,0.1,1,331.43,119.97923639762521
ArN2,0.1,1,331.8,146.91044853502345
ArN2,0.1,1,332.16,166.17184621468223
ArN2,0.1,1,332.52,171.54005502184168
ArN2,0.1,1,332.89,180.30455596238147
ArN2,0.1,1,333.25,183.76520195389512
ArN2,0.1,1,333.62,184.42516203675058
ArN2,0.1,1,333.98,185.6981997403569
ArN2,0.1,1,334.35,186.5554247799838
ArN2,0.1,1,334.71,186.5554247799838
ArN2,0.1,1,335.08,186.5554247799838
ArN2,0.1,1,335.44,184.7523095752837
ArN2,0.1,1,335.81,182.81561920977353
ArN2,0.1,1,336.17,180.4277444809039
ArN2,0.1,1,336.53,175.6390519790242
ArN2,0.1,1,336.9,173.85513226870535
ArN2,0.1,1,337.26,169.95830751076477
ArN2,0.1,1,337.63,167.0079613462234
ArN2,0.1,1,337.99,159.6435597334678
ArN2,0.1,1,338.36,149.4937915942594
ArN2,0.1,1,338.72,141.73549605492346
ArN2,0.1,1,339.08,127.37016885357498
ArN2,0.1,1,339.45,104.24945178419327
ArN2,0.1,1,339.81,79.59413129106618
ArN2,0.1,1,340.18,50.45965247185154
ArN2,0.1,1,340.54,26.90625673290981
ArN2,0.1,1,340.9,14.934211030561032
ArN2,0.1,1,341.27,8.495148193833442
ArN2,0.1,1,341.63,6.251461032755955
ArN2,0.1,1,341.99,5.672082701149693
ArN2,0.1,1,342.36,5.591772705566047
ArN2,0.1,1,342.72,5.305121238900883
ArN2,0.1,1,343.09,4.764814077371794
ArN2,0.1,1,343.45,4.685672290885025
ArN2,0.1,1,343.81,5.096402155474453
ArN2,0.1,1,344.18,5.096402155474453
ArN2,0.1,1,344.54,4.948623832679923
ArN2,0.1,1,344.9,5.103588991665265
ArN2,0.1,1,345.27,5.103588991665265
ArN2,0.1,1,345.63,5.283834901679117
ArN2,0.1,1,345.99,5.283834901679117
ArN2,0.1,1,346.36,6.740379792246161
ArN2,0.1,1,346.72,7.487677675550715
ArN2,0.1,1,347.08,10.595257304679631
ArN2,0.1,1,347.45,11.904286290445542
ArN2,0.1,1,347.81,13.073501196650218
ArN2,0.1,1,348.17,14.49584047246969
ArN2,0.1,1,348.54,17.51377229876411
ArN2,0.1,1,348.9,20.96963756419471
ArN2,0.1,1,349.26,22.78762137050905
ArN2,0.1,1,349.62,24.961254285079665
ArN2,0.1,1,349.99,27.226901840718455
ArN2,0.1,1,350.35,32.55294717466923
ArN2,0.1,1,350.71,40.25940980983102
ArN2,0.1,1,351.08,50.8129343070864
ArN2,0.1,1,351.44,62.6095009194796
ArN2,0.1,1,351.8,85.14520266400643
ArN2,0.1,1,352.16,109.13907819097798
ArN2,0.1,1,352.53,115.50444142107973
ArN2,0.1,1,352.89,126.21709232382655
ArN2,0.1,1,353.25,130.3542854948745
ArN2,0.1,1,353.61,130.36635384714936
ArN2,0.1,1,353.98,131.20712709308646
ArN2,0.1,1,354.34,131.37337679774137
ArN2,0.1,1,354.7,131.37337679774137
ArN2,0.1,1,355.06,131.36130844546656
ArN2,0.1,1,355.43,130.529898046243
ArN2,0.1,1,355.79,130.23530587483975
ArN2,0.1,1,356.15,127.5727340925328
ArN2,0.1,1,356.51,124.36864227671566
ArN2,0.1,1,356.88,119.86193825222954
ArN2,0.1,1,357.24,118.03167728003221
ArN2,0.1,1,357.6,116.89652356622713
ArN2,0.1,1,357.96,114.28097839225765
