mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm
ArN2,model,0.1,1,361.2806403201601,9.567881109892479
ArN2,model,0.1,1,361.53076538269136,8.537845473180568
ArN2,model,0.1,1,361.7808904452226,7.58500610385004
ArN2,model,0.1,1,362.03101550775386,6.708761744027544
ArN2,model,0.1,1,362.2811405702852,5.9076275678995955
ArN2,model,0.1,1,362.5312656328164,5.17936426181325
ArN2,model,0.1,1,362.7813906953477,4.5211081982457
ArN2,model,0.1,1,363.03151575787894,3.9294994244015564
ArN2,model,0.1,1,363.2816408204102,3.400804659622639
ArN2,model,0.1,1,363.5317658829415,2.931033003996152
ArN2,model,0.1,1,363.78189094547275,2.5160425797505015
ArN2,model,0.1,1,364.032016008004,2.1516368359034987
ArN2,model,0.1,1,364.28214107053526,1.8336497269205743
ArN2,model,0.1,1,364.5322661330665,1.5580194130595033
ArN2,model,0.1,1,364.7823911955978,1.3208505125379841
ArN2,model,0.1,1,365.0325162581291,1.1184652562266768
ArN2,model,0.1,1,365.28264132066033,0.9474441503193426
ArN2,model,0.1,1,365.5327663831916,0.8046569406327898
