mixture,kind,concentration_percent,pressure_bar,wavelength_nm,intensity_ph_MeV_nm,experimental_scale,normalisation_reference
ArCF4,model,0.1,1.0,244.42221110555278,7.901323841116038,1.0,none
ArCF4,model,0.1,1.0,244.7223611805903,7.845193348907485,1.0,none
ArCF4,model,0.1,1.0,245.02251125562782,7.788990297272915,1.0,none
ArCF4,model,0.1,1.0,245.32266133066534,7.732722338617706,1.0,none
ArCF4,model,0.1,1.0,245.62281140570286,7.676397128603877,1.0,none
ArCF4,model,0.1,1.0,245.92296148074038,7.620022323225934,1.0,none
ArCF4,model,0.1,1.0,246.2231115557779,7.56360557586171,1.0,none
ArCF4,model,0.1,1.0,246.5232616308154,7.507154534301341,1.0,none
ArCF4,model,0.1,1.0,246.82341170585295,7.4506768377574435,1.0,none
ArCF4,model,0.1,1.0,247.12356178089044,7.394180113859727,1.0,none
ArCF4,model,0.1,1.0,247.42371185592796,7.337671975636858,1.0,none
ArCF4,model,0.1,1.0,247.72386193096548,7.281160018488931,1.0,none
ArCF4,model,0.1,1.0,248.024012006003,7.224651817153309,1.0,none
ArCF4,model,0.1,1.0,248.32416208104053,7.168154922666933,1.0,none
ArCF4,model,0.1,1.0,248.62431215607805,7.111676859328018,1.0,none
ArCF4,model,0.1,1.0,248.92446223111557,7.05522512166,1.0,none
ArCF4,model,0.1,1.0,249.22461230615306,6.9988071713806095,1.0,none
ArCF4,model,0.1,1.0,249.5247623811906,6.942430434378801,1.0,none
ArCF4,model,0.1,1.0,249.8249124562281,6.8861022977024,1.0,none
ArCF4,model,0.1,1.0,250.12506253126563,6.829830106558931,1.0,none
ArCF4,model,0.1,1.0,250.42521260630315,6.773621161332484,1.0,none
ArCF4,model,0.1,1.0,250.72536268134067,6.717482714618987,1.0,none
ArCF4,model,0.1,1.0,251.0255127563782,6.661421968282473,1.0,none
ArCF4,model,0.1,1.0,251.3256628314157,6.60544607053473,1.0,none
ArCF4,model,0.1,1.0,251.62581290645323,6.54956211304071,1.0,none
ArCF4,model,0.1,1.0,251.92596298149076,6.493777128051995,1.0,none
ArCF4,model,0.1,1.0,252.22611305652828,6.43809808557052,1.0,none
ArCF4,model,0.1,1.0,252.52626313156577,6.382531890544767,1.0,none
ArCF4,model,0.1,1.0,252.82641320660332,6.327085380100469,1.0,none
ArCF4,model,0.1,1.0,253.1265632816408,6.27176532080795,1.0,none
ArCF4,model,0.1,1.0,253.42671335667833,6.216578405987918,1.0,none
ArCF4,model,0.1,1.0,253.72686343171586,6.161531253057808,1.0,none
ArCF4,model,0.1,1.0,254.02701350675338,6.106630400920375,1.0,none
ArCF4,model,0.1,1.0,254.3271635817909,6.0518823073963945,1.0,none
ArCF4,model,0.1,1.0,254.62731365682842,5.997293346703206,1.0,none
ArCF4,model,0.1,1.0,254.92746373186594,5.9428698069807355,1.0,none
ArCF4,model,0.1,1.0,255.22761380690346,5.888617887866666,1.0,none
ArCF4,model,0.1,1.0,255.52776388194098,5.834543698122323,1.0,none
ArCF4,model,0.1,1.0,255.82791395697848,5.780653253310781,1.0,none
ArCF4,model,0.1,1.0,256.128064032016,5.7269524735286765,1.0,none
ArCF4,model,0.1,1.0,256.4282141070535,5.673447181193252,1.0,none
ArCF4,model,0.1,1.0,256.72836418209107,5.620143098885848,1.0,none
ArCF4,model,0.1,1.0,257.02851425712856,5.567045847253447,1.0,none
ArCF4,model,0.1,1.0,257.3286643321661,5.5141609429693625,1.0,none
ArCF4,model,0.1,1.0,257.6288144072036,5.461493796754605,1.0,none
ArCF4,model,0.1,1.0,257.9289644822411,5.409049711460945,1.0,none
ArCF4,model,0.1,1.0,258.22911455727865,5.3568338802171525,1.0,none
ArCF4,model,0.1,1.0,258.52926463231614,5.304851384639524,1.0,none
ArCF4,model,0.1,1.0,258.8294147073537,5.253107193107802,1.0,none
ArCF4,model,0.1,1.0,259.1295647823912,5.201606159107907,1.0,none
ArCF4,model,0.1,1.0,259.42971485742873,5.150353019642357,1.0,none
ArCF4,model,0.1,1.0,259.7298649324662,5.099352393709806,1.0,none
ArCF4,model,0.1,1.0,260.0300150075038,5.048608780854526,1.0,none
ArCF4,model,0.1,1.0,260.33016508254127,4.998126559787285,1.0,none
ArCF4,model,0.1,1.0,260.6303151575788,4.947909987078379,1.0,none
ArCF4,model,0.1,1.0,260.9304652326163,4.897963195924239,1.0,none
ArCF4,model,0.1,1.0,261.2306153076538,4.848290194988394,1.0,none
ArCF4,model,0.1,1.0,261.53076538269136,4.798894867318104,1.0,none
ArCF4,model,0.1,1.0,261.83091545772885,4.749780969337613,1.0,none
ArCF4,model,0.1,1.0,262.1310655327664,4.700952129918992,1.0,none
ArCF4,model,0.1,1.0,262.4312156078039,4.652411849531837,1.0,none
ArCF4,model,0.1,1.0,262.73136568284144,4.60416349947255,1.0,none
ArCF4,model,0.1,1.0,263.03151575787894,4.55621032117452,1.0,none
ArCF4,model,0.1,1.0,263.3316658329165,4.508555425599898,1.0,none
ArCF4,model,0.1,1.0,263.631815907954,4.461201792714216,1.0,none
ArCF4,model,0.1,1.0,263.9319659829915,4.414152271044559,1.0,none
ArCF4,model,0.1,1.0,264.232116058029,4.367409577322452,1.0,none
ArCF4,model,0.1,1.0,264.5322661330665,4.320976296212149,1.0,none
ArCF4,model,0.1,1.0,264.83241620810406,4.27485488012537,1.0,none
ArCF4,model,0.1,1.0,265.13256628314156,4.229047649123289,1.0,none
ArCF4,model,0.1,1.0,265.4327163581791,4.183556790906473,1.0,none
ArCF4,model,0.1,1.0,265.7328664332166,4.138384360893751,1.0,none
ArCF4,model,0.1,1.0,266.03301650825415,4.093532282390498,1.0,none
ArCF4,model,0.1,1.0,266.33316658329164,4.049002346847265,1.0,none
ArCF4,model,0.1,1.0,266.63331665832914,4.004796214209124,1.0,none
ArCF4,model,0.1,1.0,266.9334667333667,3.960915413356498,1.0,none
ArCF4,model,0.1,1.0,267.23361680840424,3.917361342637915,1.0,none
ArCF4,model,0.1,1.0,267.53376688344173,3.874135270495062,1.0,none
ArCF4,model,0.1,1.0,267.8339169584792,3.831238336180556,1.0,none
ArCF4,model,0.1,1.0,268.13406703351677,3.788671550568775,1.0,none
ArCF4,model,0.1,1.0,268.43421710855426,3.7464357970598616,1.0,none
ArCF4,model,0.1,1.0,268.7343671835918,3.704531832577011,1.0,none
ArCF4,model,0.1,1.0,269.0345172586293,3.6629602886571937,1.0,none
ArCF4,model,0.1,1.0,269.33466733366686,3.6217216726350303,1.0,none
ArCF4,model,0.1,1.0,269.63481740870435,3.580816368919879,1.0,none
ArCF4,model,0.1,1.0,269.93496748374184,3.5402446403655947,1.0,none
ArCF4,model,0.1,1.0,270.2351175587794,3.500006629732757,1.0,none
ArCF4,model,0.1,1.0,270.53526763381694,3.4601023612427597,1.0,none
ArCF4,model,0.1,1.0,270.83541770885444,3.4205317422230865,1.0,none
ArCF4,model,0.1,1.0,271.13556778389193,3.3812945648430266,1.0,none
ArCF4,model,0.1,1.0,271.4357178589295,3.3423905079389633,1.0,none
ArCF4,model,0.1,1.0,271.735867933967,3.303819138928149,1.0,none
ArCF4,model,0.1,1.0,272.0360180090045,3.2655799158097225,1.0,none
ArCF4,model,0.1,1.0,272.336168084042,3.2276721892518148,1.0,none
ArCF4,model,0.1,1.0,272.63631815907956,3.1900952047630375,1.0,none
ArCF4,model,0.1,1.0,272.93646823411706,3.1528481049469796,1.0,none
ArCF4,model,0.1,1.0,273.23661830915455,3.1159299318377025,1.0,none
ArCF4,model,0.1,1.0,273.5367683841921,3.0793396293144935,1.0,none
ArCF4,model,0.1,1.0,273.83691845922965,3.043076045593723,1.0,none
ArCF4,model,0.1,1.0,274.13706853426714,3.0071379357955337,1.0,none
ArCF4,model,0.1,1.0,274.43721860930464,2.9715239645830254,1.0,none
ArCF4,model,0.1,1.0,274.7373686843422,2.9362327088714024,1.0,none
ArCF4,model,0.1,1.0,275.0375187593797,2.9012626606043583,1.0,none
